0 0
235 0
470 0
705 0
940 0
1175 0
1410 0
1645 0
1880 0
2115 0
-116 70
119 70
354 70
589 70
824 70
1059 70
1294 70
1529 70
1764 70
1999 70
0 140
235 140
470 140
705 140
940 140
1175 140
1410 140
1645 140
1880 140
2115 140
-116 210
119 210
354 210
589 210
824 210
1059 210
1294 210
1529 210
1764 210
1999 210
0 280
235 280
470 280
705 280
940 280
1175 280
1410 280
1645 280
1880 280
2115 280
-116 350
119 350
354 350
589 350
824 350
1059 350
1294 350
1529 350
1764 350
1999 350
0 420
235 420
470 420
705 420
940 420
1175 420
1410 420
1645 420
1880 420
2115 420
-116 490
119 490
354 490
589 490
824 490
1059 490
1294 490
1529 490
1764 490
1999 490
0 560
235 560
470 560
705 560
940 560
1175 560
1410 560
1645 560
1880 560
2115 560
-116 630
119 630
354 630
589 630
824 630
1059 630
1294 630
1529 630
1764 630
1999 630
0 700
235 700
470 700
705 700
940 700
1175 700
1410 700
1645 700
1880 700
2115 700
-116 770
119 770
354 770
589 770
824 770
1059 770
1294 770
1529 770
1764 770
1999 770
0 840
235 840
470 840
705 840
940 840
1175 840
1410 840
1645 840
1880 840
2115 840
-116 910
119 910
354 910
589 910
824 910
1059 910
1294 910
1529 910
1764 910
1999 910
0 980
235 980
470 980
705 980
940 980
1175 980
1410 980
1645 980
1880 980
2115 980
